,category_name,title,link,author,year,rating,num_of_people,price_in_dollars,years
86,arts_photo,"Christmas Planner: Holiday Diary & Organiser : Plan Gifts & Cards, Budget & Meals, Track Online Orders and Shopping Lists  ",https://www.amazon.com/Christmas-Planner-Holiday-Organiser-Shopping/dp/1696573602/ref=sr_1_245?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664894553&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-245,Briar Holiday Books,2019-09-30,0.0,0,6.99,2019
88,arts_photo,God in the Details: American Religion in Popular Culture  ,https://www.amazon.com/God-Details-American-Religion-Popular/dp/0415485371/ref=sr_1_247?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664894553&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-247,Eric Mazur and Kate McCarth,2010-10-02,4.3,6,39.17,2010
97,arts_photo,Lost Connections: Why You’re Depressed and How to Find Hope  ,https://www.amazon.com/Lost-Connections-Uncovering-Depression-Unexpected/dp/163286830X/ref=sr_1_323?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664894822&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-323,Johann Hari,2018-01-23,4.6,5831,13.96,2018
121,arts_photo,"Essential Ottolenghi [Special Edition, Two-Book Boxed Set]: Plenty More and Ottolenghi Simple  ",https://www.amazon.com/Essential-Ottolenghi-Special-Two-Book-Boxed/dp/1984858335/ref=sr_1_429?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664894832&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-429,Yotam Ottolenghi,2019-11-05,4.8,823,29.99,2019
122,arts_photo,Acupressure - Point Functions  ,https://www.amazon.com/Acupressure-Point-Functions-Inc-BarCharts/dp/1423228545/ref=sr_1_430?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664894832&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-430,Inc. BarCharts,2015-12-01,4.5,174,6.95,2015
125,arts_photo,Weekly Meal Planner: 52 Weeks of Menu Planning Pages with Weekly Grocery Shopping List - Pineapple Pattern  ,https://www.amazon.com/Weekly-Meal-Planner-Planning-Pineapple/dp/1078326673/ref=sr_1_673?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664894842&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-673,Cardien Design Co.,2019-07-05,4.6,692,5.95,2019
127,arts_photo,Pure of Heart - A Fantasy Adventure  ,https://www.amazon.com/Pure-Heart-Adventure-Christopher-Greyson/dp/1683998049/ref=sr_1_675?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664894842&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-675,Christopher Greyson,2019-03-07,4.2,294,9.99,2019
131,arts_photo,"Kids Summer Academy by ArgoPrep - Grades 6-7: 12 Weeks of Math, Reading, Science, Logic, Fitness and Yoga | Online Access Included | Prevent Summer Learning Loss  ",https://www.amazon.com/Kids-Summer-Academy-ArgoPrep-Included/dp/1946755877/ref=sr_1_679?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664894842&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-679,Argo Brothers  and ArgoPrep,2019-05-25,4.4,733,8.1,2019
141,arts_photo,"WTF Is My Password: Password Book Log Book AlphabeticalPocket Size Purple Flower Cover Black Frame 6"" x 9""  ",https://www.amazon.com/WTF-My-Password-AlphabeticalPocket-Logbook/dp/1702741567/ref=sr_1_97?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895067&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-97,Paper Kate Publishing,2019-10-26,4.7,5895,5.95,2019
149,arts_photo,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle  ,https://www.amazon.com/Complete-Ketogenic-Diet-Beginners-Essential/dp/1623158087/ref=sr_1_105?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895067&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-105,Amy Ramos  and Amanda C. Hughes,2016-12-20,4.3,28746,6.98,2016
